"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Task Management","0","Add Comment to Task","2","0","","0"
"0","Project Management","0","Create Project","7","0","","0"
"0","User Management","0","Remove User","1","0","","0"
"0","User Management","0","Get User Details","1","0","","0"
"0","Task Management","0","Close Task","3","0","","0"
"0","Task Management","0","Create Task","1","0","Add New Task","0"
"0","Project Management","0","Get Project by ID","1","0","","0"
"0","Login Functionality","1","Invalid Login","0","0","Invalid Username Test","0"
"0","Project Management","0","Add User to Project","1","0","","0"
"0","Login Functionality","0","Valid Login","1","0","Valid Login Test","0"
"0","Project Management","0","Remove Project","1","0","","0"
"0","Task Management","0","Create Task","1","0","Open Project","0"
"0","Project Management","0","Enable Project","1","0","","0"
"0","User Management","0","Create User","1","0","","0"
"0","Login Functionality","1","Invalid Login","0","0","Invalid Password Test","0"
"0","Project Management","0","Enable Public Access to Project","1","0","","0"
